Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.41576	leaf-2	0	44	LastDelay	0.00576	5760	1	2
4.41576	leaf-2	0	44	FullDelay	0.00576	5760	1	2
4.42576	leaf-3	0	44	LastDelay	0.00576	5760	1	2
4.42576	leaf-3	0	44	FullDelay	0.00576	5760	1	2
4.43288	leaf-4	0	44	LastDelay	0.00288	2880	1	2
4.43288	leaf-4	0	44	FullDelay	0.00288	2880	1	2
4.50288	leaf-1	0	44	LastDelay	0.00288	2880	1	2
4.50288	leaf-1	0	44	FullDelay	0.00288	2880	1	2
4.51576	leaf-2	0	45	LastDelay	0.00576	5760	1	2
4.51576	leaf-2	0	45	FullDelay	0.00576	5760	1	2
4.52576	leaf-3	0	45	LastDelay	0.00576	5760	1	2
4.52576	leaf-3	0	45	FullDelay	0.00576	5760	1	2
4.53288	leaf-4	0	45	LastDelay	0.00288	2880	1	2
4.53288	leaf-4	0	45	FullDelay	0.00288	2880	1	2
4.60288	leaf-1	0	45	LastDelay	0.00288	2880	1	2
4.60288	leaf-1	0	45	FullDelay	0.00288	2880	1	2
4.61576	leaf-2	0	46	LastDelay	0.00576	5760	1	2
4.61576	leaf-2	0	46	FullDelay	0.00576	5760	1	2
4.62576	leaf-3	0	46	LastDelay	0.00576	5760	1	2
4.62576	leaf-3	0	46	FullDelay	0.00576	5760	1	2
4.63288	leaf-4	0	46	LastDelay	0.00288	2880	1	2
4.63288	leaf-4	0	46	FullDelay	0.00288	2880	1	2
4.70288	leaf-1	0	46	LastDelay	0.00288	2880	1	2
4.70288	leaf-1	0	46	FullDelay	0.00288	2880	1	2
4.71576	leaf-2	0	47	LastDelay	0.00576	5760	1	2
4.71576	leaf-2	0	47	FullDelay	0.00576	5760	1	2
4.72576	leaf-3	0	47	LastDelay	0.00576	5760	1	2
4.72576	leaf-3	0	47	FullDelay	0.00576	5760	1	2
4.73288	leaf-4	0	47	LastDelay	0.00288	2880	1	2
4.73288	leaf-4	0	47	FullDelay	0.00288	2880	1	2
4.80288	leaf-1	0	47	LastDelay	0.00288	2880	1	2
4.80288	leaf-1	0	47	FullDelay	0.00288	2880	1	2
4.81576	leaf-2	0	48	LastDelay	0.00576	5760	1	2
4.81576	leaf-2	0	48	FullDelay	0.00576	5760	1	2
4.82576	leaf-3	0	48	LastDelay	0.00576	5760	1	2
4.82576	leaf-3	0	48	FullDelay	0.00576	5760	1	2
4.83288	leaf-4	0	48	LastDelay	0.00288	2880	1	2
4.83288	leaf-4	0	48	FullDelay	0.00288	2880	1	2
4.90288	leaf-1	0	48	LastDelay	0.00288	2880	1	2
4.90288	leaf-1	0	48	FullDelay	0.00288	2880	1	2
4.91576	leaf-2	0	49	LastDelay	0.00576	5760	1	2
4.91576	leaf-2	0	49	FullDelay	0.00576	5760	1	2
4.92576	leaf-3	0	49	LastDelay	0.00576	5760	1	2
4.92576	leaf-3	0	49	FullDelay	0.00576	5760	1	2
4.93288	leaf-4	0	49	LastDelay	0.00288	2880	1	2
4.93288	leaf-4	0	49	FullDelay	0.00288	2880	1	2
5.00288	leaf-1	0	49	LastDelay	0.00288	2880	1	2
5.00288	leaf-1	0	49	FullDelay	0.00288	2880	1	2
5.01576	leaf-2	0	50	LastDelay	0.00576	5760	1	2
5.01576	leaf-2	0	50	FullDelay	0.00576	5760	1	2
5.02576	leaf-3	0	50	LastDelay	0.00576	5760	1	2
5.02576	leaf-3	0	50	FullDelay	0.00576	5760	1	2
5.03288	leaf-4	0	50	LastDelay	0.00288	2880	1	2
5.03288	leaf-4	0	50	FullDelay	0.00288	2880	1	2
5.10288	leaf-1	0	50	LastDelay	0.00288	2880	1	2
5.10288	leaf-1	0	50	FullDelay	0.00288	2880	1	2
5.11576	leaf-2	0	51	LastDelay	0.00576	5760	1	2
5.11576	leaf-2	0	51	FullDelay	0.00576	5760	1	2
5.12576	leaf-3	0	51	LastDelay	0.00576	5760	1	2
5.12576	leaf-3	0	51	FullDelay	0.00576	5760	1	2
5.13288	leaf-4	0	51	LastDelay	0.00288	2880	1	2
5.13288	leaf-4	0	51	FullDelay	0.00288	2880	1	2
